ID do Colaborador;Cargo;Salário;Avaliação de Desempenho;Percentual de Bônus;Tempo de Empresa (anos);Data da Última Promoção;Data do Último Treinamento;Flag: Treinamento Antes da Admissão
EMP_00046;Gerente de RH;4560,31;2;0,0508;1,31;;2023-12-09;Sim
EMP_00047;Analista de Dados;5078,72;2;0,011399999999999999;12,5;2024-05-15;;Não
EMP_00048;Estagiário;8114,24;4;0,0814;7,04;2021-12-04;2025-02-16;Não
EMP_00049;Auxiliar Administrativo;6687,24;3;0,0805;12,62;;2025-02-18;Não
EMP_00050;Consultor de BI;2473,92;3;0,033;1,04;;;Não
EMP_00051;Coordenador de TI;6648,17;4;0,0345;7,96;;2025-04-06;Não
EMP_00052;Analista de Dados;5229,84;5;0,0461;10,77;2016-02-04;2023-10-14;Não
EMP_00053;Gerente de RH;4646,16;2;0,0862;10,05;;;Não
EMP_00054;Analista de Dados;7223,35;1;0,11960000000000001;2,03;2024-07-21;2025-01-02;Não
EMP_00055;Analista Financeiro;8062,0;2;0,12210000000000001;4,74;2024-12-07;2024-06-19;Não
EMP_00056;Gerente de RH;7862,56;3;0,1769;11,95;;2025-05-30;Não
EMP_00057;Analista de Dados;4321,56;1;0,0;10,65;2023-03-15;2025-06-20;Não
EMP_00058;Estagiário;5381,58;3;0,0662;10,73;2022-12-26;2024-06-09;Não
EMP_00059;Desenvolvedor Python;6662,53;3;0,1114;3,5;2023-09-27;2023-09-17;Não
EMP_00060;Coordenador de TI;7951,09;4;0,0248;11,98;2022-11-17;2025-04-15;Não
EMP_00061;Diretor de Operações;5041,65;1;0,1059;5,26;;2024-10-15;Não
EMP_00062;Coordenador de TI;5628,68;1;0,12390000000000001;10,37;2022-09-08;2024-05-07;Não
EMP_00063;Diretor de Operações;3787,33;5;0,10289999999999999;5,81;2023-12-16;2023-09-25;Não
EMP_00064;Analista de Dados;3607,59;4;0,0919;8,12;2020-11-04;;Não
EMP_00065;Coordenador de TI;7625,05;3;0,1594;13,77;;2023-11-30;Não
EMP_00066;Gerente de RH;8712,48;2;0,0866;5,05;2024-03-20;2024-01-31;Não
EMP_00067;Estagiário;5855,98;1;0,10369999999999999;2,73;2023-11-23;;Não
EMP_00068;Desenvolvedor Python;8007,07;4;0,1094;3,39;;2024-06-12;Não
EMP_00069;Diretor de Operações;6723,27;2;0,12119999999999999;4,22;2023-03-04;2024-11-28;Não
EMP_00070;Diretor de Operações;4709,76;4;0,1298;14,9;;2024-07-08;Não
EMP_00071;Desenvolvedor Python;6722,79;2;0,02;13,21;2014-09-20;;Não
EMP_00072;Auxiliar Administrativo;9076,07;1;0,049;2,13;2025-03-16;;Não
EMP_00073;Diretor de Operações;5928,35;5;0,049100000000000005;15,4;;;Não
EMP_00074;Analista de Dados;9129,29;5;0,10220000000000001;10,59;;2024-02-11;Não
EMP_00075;Coordenador de TI;1500,0;4;0,0226;13,39;;2024-03-30;Não
EMP_00076;Consultor de BI;7643,81;4;0,081;7,36;;2024-08-12;Não
EMP_00077;Engenheiro de Dados;6174,09;3;0,0554;6,37;2024-03-03;2024-07-02;Não
EMP_00078;Consultor de BI;5401,99;3;0,0495;8,84;2023-09-06;2023-11-16;Não
EMP_00079;Desenvolvedor Python;6183,52;1;0,1013;1,52;;;Não
EMP_00080;Desenvolvedor Python;2024,86;4;0,042;13,58;;2024-07-18;Não
EMP_00081;Estagiário;5560,66;1;0,09630000000000001;2,69;2024-08-17;;Não
EMP_00082;Analista de Dados;6714,23;3;0,039;5,23;2023-10-24;2023-10-21;Não
EMP_00083;Analista de Dados;8955,79;3;0,1573;3,99;2023-12-26;2025-05-23;Não
EMP_00084;Diretor de Operações;4963,46;2;0,08349999999999999;2,17;;;Não
EMP_00085;Diretor de Operações;4383,01;4;0,0901;12,19;;;Não
EMP_00086;Coordenador de TI;4996,49;4;0,1697;13,41;;;Não
EMP_00087;Analista Financeiro;7830,8;1;0,1313;14,54;2018-08-27;2025-02-05;Não
EMP_00088;Engenheiro de Dados;6657,5;4;0,16079999999999997;14,75;;;Não
EMP_00089;Gerente de RH;4940,48;4;0,1011;5,76;;;Não
EMP_00090;Coordenador de TI;7026,53;3;0,1094;14,73;2020-02-28;;Não
EMP_00091;Analista de Dados;6194,16;3;0,07139999999999999;5,46;;2023-11-02;Não
EMP_00092;Engenheiro de Dados;7937,29;3;0,045;7,74;;2023-12-13;Não
EMP_00093;Gerente de RH;4595,89;4;0,1001;10,8;;;Não
EMP_00094;Consultor de BI;5344,68;5;0,1282;14,63;;2024-03-10;Não
EMP_00095;Analista de Dados;5215,78;3;0,1174;13,52;2020-04-02;2024-11-09;Não
EMP_00096;Consultor de BI;3072,97;4;0,1371;3,0;2023-10-22;2024-11-27;Não
EMP_00097;Analista Financeiro;6592,24;5;0,075;10,93;;2024-01-25;Não
EMP_00098;Desenvolvedor Python;6522,11;4;0,0785;3,26;;2024-08-02;Não
EMP_00099;Diretor de Operações;6010,23;2;0,0649;4,58;;2023-08-19;Não
EMP_00100;Analista de Dados;5530,83;3;0,07980000000000001;5,13;2021-09-10;2025-04-28;Não
EMP_00101;Coordenador de TI;3169,26;3;0,1416;6,57;2023-02-08;2024-11-06;Não
EMP_00102;Coordenador de TI;5158,71;3;0,12560000000000002;6,57;;;Não
EMP_00103;Coordenador de TI;5314,57;2;0,0863;1,28;2025-05-22;2025-01-06;Não
EMP_00104;Consultor de BI;4395,45;1;0,0429;11,33;;;Não
EMP_00105;Coordenador de TI;5677,43;4;0,09050000000000001;10,78;;2024-12-26;Não
EMP_00106;Consultor de BI;6808,1;4;0,0508;3,87;;2025-01-10;Não
EMP_00107;Consultor de BI;9772,37;5;0,09300000000000001;6,84;2024-12-27;2025-02-13;Não
EMP_00108;Engenheiro de Dados;6349,16;1;0,11779999999999999;2,33;;;Não
EMP_00109;Analista Financeiro;6515,1;3;0,033;14,85;2023-06-28;2025-02-08;Não
EMP_00110;Gerente de RH;5851,11;2;0,1321;13,83;;2024-04-16;Não
EMP_00111;Estagiário;2162,46;3;0,1014;10,47;2018-05-30;2025-02-02;Não
EMP_00112;Desenvolvedor Python;5946,97;5;0,049100000000000005;3,64;;2023-12-19;Não
EMP_00113;Consultor de BI;6120,46;4;0,1093;14,88;;2024-05-25;Não
EMP_00114;Desenvolvedor Python;10926,48;1;0,0;1,78;;;Não
EMP_00115;Gerente de RH;5615,28;4;0,0967;13,44;;2023-12-04;Não
EMP_00116;Estagiário;6603,09;1;0,1116;14,66;2020-03-20;2024-10-17;Não
EMP_00117;Consultor de BI;5930,58;5;0,0965;11,92;2020-05-20;2023-10-21;Não
EMP_00118;Auxiliar Administrativo;3662,64;3;0,0909;6,49;2021-05-24;;Não
EMP_00119;Diretor de Operações;8285,65;1;0,1103;11,8;2018-06-29;2023-12-08;Não
EMP_00120;Consultor de BI;7503,87;4;0,055;6,6;2023-01-02;;Não
EMP_00121;Diretor de Operações;7582,06;1;0,155;6,45;2021-04-15;2024-02-23;Não
EMP_00122;Analista de Dados;4181,23;4;0,08130000000000001;12,98;2014-11-04;2024-03-08;Não
EMP_00123;Desenvolvedor Python;8805,59;4;0,1115;0,86;;;Não
EMP_00124;Coordenador de TI;3196,3;1;0,0882;13,49;;2023-08-13;Não
EMP_00125;Analista de Dados;7173,71;3;0,09609999999999999;6,18;;;Não
EMP_00126;Engenheiro de Dados;10380,91;5;0,0889;4,21;2023-08-17;2024-02-24;Não
EMP_00127;Auxiliar Administrativo;4018,93;2;0,09119999999999999;4,92;2024-04-20;2025-05-28;Não
EMP_00128;Diretor de Operações;4867,4;5;0,0861;9,49;2018-06-30;2023-07-01;Não
EMP_00129;Gerente de RH;6199,3;4;0,0;4,27;;;Não
EMP_00130;Analista Financeiro;4993,05;4;0,1041;6,29;;2024-04-10;Não
EMP_00131;Engenheiro de Dados;2898,67;5;0,114;8,02;;;Não
EMP_00132;Auxiliar Administrativo;6137,13;5;0,1316;5,08;2024-01-25;;Não
EMP_00133;Engenheiro de Dados;3875,39;2;0,0857;4,06;;2025-01-07;Não
EMP_00134;Estagiário;6947,18;5;0,0642;12,28;2016-05-25;;Não
EMP_00135;Engenheiro de Dados;4161,15;4;0,0974;10,5;;2025-06-27;Não
EMP_00136;Analista de Dados;9099,87;1;0,10779999999999999;1,59;2025-03-13;2023-08-02;Sim
EMP_00137;Diretor de Operações;4433,49;1;0,037599999999999995;12,99;2014-09-23;2024-02-20;Não
EMP_00138;Gerente de RH;5355,88;3;0,0593;7,16;;2023-09-09;Não
EMP_00139;Diretor de Operações;7627,03;2;0,2095;14,2;;2024-07-24;Não
EMP_00140;Auxiliar Administrativo;3538,27;1;0,1014;5,22;2023-07-13;2024-05-23;Não
EMP_00141;Auxiliar Administrativo;6454,92;5;0,17800000000000002;14,6;;2023-11-11;Não
EMP_00142;Engenheiro de Dados;8614,29;4;0,1177;14,55;;;Não
EMP_00143;Auxiliar Administrativo;2785,03;1;0,12689999999999999;14,22;2016-07-29;2023-09-10;Não
EMP_00144;Diretor de Operações;6369,27;3;0,08349999999999999;10,71;2020-10-28;;Não
EMP_00145;Gerente de RH;6519,77;3;0,0;13,62;2016-12-29;2024-05-26;Não
EMP_00146;Auxiliar Administrativo;7563,65;5;0,0679;3,82;2024-01-28;2023-10-16;Não
EMP_00147;Consultor de BI;3526,1;4;0,0;10,79;;2025-05-14;Não
EMP_00148;Desenvolvedor Python;3359,09;4;0,0654;10,64;2024-12-04;2023-12-18;Não
EMP_00149;Consultor de BI;7043,88;4;0,1766;6,58;;;Não
EMP_00150;Analista de Dados;6593,97;2;0,1461;11,72;;2024-08-04;Não
EMP_00151;Estagiário;6500,99;4;0,0458;0,6;;;Não
EMP_00152;Engenheiro de Dados;6692,9;1;0,0774;14,81;;2023-12-22;Não
EMP_00153;Consultor de BI;4639,95;2;0,0452;3,84;;2023-07-31;Não
EMP_00154;Estagiário;6464,51;2;0,17059999999999997;1,97;;2023-09-19;Não
EMP_00155;Coordenador de TI;6586,14;1;0,1336;15,43;;2025-03-08;Não
EMP_00156;Engenheiro de Dados;4571,3;5;0,085;8,33;;;Não
EMP_00157;Estagiário;9731,55;2;0,0387;8,92;2023-01-10;;Não
EMP_00158;Analista Financeiro;6947,67;1;0,1293;12,8;2022-09-11;2023-07-22;Não
EMP_00159;Consultor de BI;3617,39;2;0,1047;11,08;;;Não
EMP_00160;Coordenador de TI;7313,11;2;0,10880000000000001;5,82;2020-09-08;2025-04-16;Não
EMP_00161;Estagiário;4050,64;2;0,1686;12,28;;;Não
EMP_00162;Coordenador de TI;7574,17;3;0,057699999999999994;7,98;2023-08-15;2024-08-13;Não
EMP_00163;Estagiário;8317,19;1;0,0953;13,6;2025-05-14;2024-05-26;Não
EMP_00164;Coordenador de TI;4358,64;5;0,1602;3,39;;;Não
EMP_00165;Desenvolvedor Python;7926,75;4;0,0859;6,25;2021-04-22;;Não
EMP_00166;Analista de Dados;6825,56;1;0,08650000000000001;10,7;2016-06-17;2024-10-05;Não
EMP_00167;Engenheiro de Dados;7644,12;5;0,07769999999999999;2,29;;;Não
EMP_00168;Coordenador de TI;9793,59;2;0,122;13,71;;2023-09-18;Não
EMP_00169;Analista de Dados;5509,22;4;0,09910000000000001;3,25;;2024-04-14;Não
EMP_00170;Coordenador de TI;4492,53;5;0,0475;12,02;2021-01-12;;Não
EMP_00171;Analista Financeiro;4220,97;2;0,0613;8,88;2023-07-31;2023-08-08;Não
EMP_00172;Consultor de BI;4368,38;2;0,122;4,53;2024-10-24;;Não
EMP_00173;Analista Financeiro;5845,8;2;0,0815;3,01;2024-01-05;;Não
EMP_00174;Analista Financeiro;6682,3;4;0,13390000000000002;12,7;2015-04-30;2025-01-27;Não
EMP_00175;Engenheiro de Dados;6553,38;5;0,1075;8,42;;;Não
EMP_00176;Gerente de RH;7654,37;3;0,1367;10,76;2017-01-31;2023-07-18;Não
EMP_00177;Desenvolvedor Python;6026,0;3;0,11599999999999999;13,79;;;Não
EMP_00178;Coordenador de TI;8907,07;4;0,0424;8,53;;2024-11-08;Não
EMP_00179;Desenvolvedor Python;5470,69;4;0,0964;14,77;;2025-04-06;Não
EMP_00180;Gerente de RH;11440,34;3;0,0959;4,4;2022-07-23;2024-09-16;Não
EMP_00181;Estagiário;7251,33;1;0,127;8,23;2024-10-25;2024-07-02;Não
EMP_00182;Gerente de RH;4285,68;2;0,1199;11,58;;2024-07-24;Não
EMP_00183;Analista Financeiro;3858,22;1;0,0695;15,36;2016-12-30;;Não
EMP_00184;Auxiliar Administrativo;6964,94;2;0,07339999999999999;4,83;2023-06-05;2024-01-27;Não
EMP_00185;Analista de Dados;5553,07;5;0,044800000000000006;5,55;2023-03-01;2025-01-21;Não
EMP_00186;Estagiário;7428,0;2;0,1361;8,77;2024-12-18;2023-09-11;Não
EMP_00187;Analista Financeiro;6946,48;5;0,10210000000000001;11,69;2018-05-11;;Não
EMP_00188;Analista de Dados;5854,34;4;0,1493;2,94;;2024-05-29;Não
EMP_00189;Diretor de Operações;4306,41;1;0,18280000000000002;9,58;;2023-12-10;Não
EMP_00190;Consultor de BI;2970,31;4;0,0;10,59;2022-11-16;2023-09-26;Não
EMP_00191;Gerente de RH;5106,97;3;0,10779999999999999;9,09;;2025-03-04;Não
EMP_00192;Estagiário;7712,8;5;0,0906;7,24;;2023-07-09;Não
EMP_00193;Gerente de RH;6428,19;3;0,12369999999999999;14,23;2017-01-21;2023-12-07;Não
EMP_00194;Desenvolvedor Python;3508,52;3;0,0698;8,62;;2025-05-31;Não
EMP_00195;Engenheiro de Dados;6346,36;4;0,0366;3,99;2024-06-18;2024-06-17;Não
EMP_00196;Auxiliar Administrativo;6770,63;3;0,0759;13,96;;2025-03-14;Não
EMP_00197;Coordenador de TI;4232,29;4;0,0222;5,92;;;Não
EMP_00198;Consultor de BI;6307,45;3;0,0369;8,85;2019-06-04;2024-11-12;Não
EMP_00199;Coordenador de TI;6116,42;1;0,10099999999999999;7,73;2024-11-11;2024-03-24;Não
EMP_00200;Analista de Dados;3714,06;1;0,18420000000000003;0,53;;2025-01-05;Não
EMP_00201;Analista Financeiro;6715,57;5;0,052199999999999996;3,85;;2025-03-12;Não
EMP_00202;Estagiário;7121,57;3;0,0482;8,83;;2024-05-26;Não
EMP_00203;Coordenador de TI;8166,1;3;0,1444;10,59;;2024-05-21;Não
EMP_00204;Estagiário;8107,6;5;0,0632;7,08;2022-10-10;;Não
EMP_00205;Coordenador de TI;3244,66;5;0,1003;4,19;;;Não
EMP_00206;Auxiliar Administrativo;4124,35;5;0,1119;7,34;2020-08-30;2025-04-01;Não
EMP_00207;Analista Financeiro;7030,07;4;0,16140000000000002;13,23;2015-09-04;2024-04-24;Não
EMP_00208;Desenvolvedor Python;7027,57;4;0,1602;14,73;;2024-03-06;Não
EMP_00209;Analista de Dados;7030,1;4;0,1017;6,61;2023-01-19;;Não
EMP_00210;Engenheiro de Dados;13705,46;5;0,09910000000000001;5,48;;;Não
EMP_00211;Auxiliar Administrativo;7141,78;5;0,1103;5,57;;2025-01-27;Não
EMP_00212;Coordenador de TI;8271,13;5;0,1674;15,13;2017-04-19;2024-07-24;Não
EMP_00213;Gerente de RH;7908,0;5;0,0783;3,04;;2024-05-18;Não
EMP_00214;Coordenador de TI;7302,78;3;0,0176;12,08;2024-08-09;2025-01-03;Não
EMP_00215;Gerente de RH;5369,46;5;0,1427;8,94;;2023-11-15;Não
EMP_00216;Gerente de RH;7517,94;4;0,1325;14,05;2021-12-13;2025-05-18;Não
EMP_00217;Diretor de Operações;4454,35;4;0,0738;10,76;;2023-11-12;Não
EMP_00218;Estagiário;5526,36;4;0,060700000000000004;11,85;2018-05-25;;Não
EMP_00219;Consultor de BI;5029,27;3;0,11630000000000001;5,36;;2024-06-07;Não
EMP_00220;Diretor de Operações;6163,75;5;0,048499999999999995;15,21;;2025-04-10;Não
EMP_00221;Diretor de Operações;10629,32;2;0,0986;13,53;2022-11-20;;Não
EMP_00222;Analista Financeiro;2265,47;1;0,20329999999999998;14,14;;2023-12-08;Não
EMP_00223;Estagiário;7372,52;1;0,1131;9,74;2016-11-13;2025-03-01;Não
EMP_00224;Coordenador de TI;2774,57;3;0,1984;12,44;2017-05-28;2025-04-12;Não
EMP_00225;Analista de Dados;5056,14;3;0,0805;2,55;;;Não
EMP_00226;Consultor de BI;8177,9;4;0,0782;11,35;;;Não
EMP_00227;Coordenador de TI;6128,56;2;0,19949999999999998;9,5;;;Não
EMP_00228;Engenheiro de Dados;3844,51;5;0,0484;7,75;2020-03-06;2023-08-21;Não
EMP_00229;Analista Financeiro;4569,39;2;0,159;1,64;2025-02-10;;Não
EMP_00230;Auxiliar Administrativo;7359,2;1;0,1346;5,87;;;Não
EMP_00231;Engenheiro de Dados;4539,27;3;0,078;8,86;;2023-11-23;Não
EMP_00232;Diretor de Operações;6432,92;3;0,09390000000000001;14,77;;2024-02-05;Não
EMP_00233;Desenvolvedor Python;6091,14;1;0,1356;14,58;;;Não
EMP_00234;Auxiliar Administrativo;4696,8;1;0,0691;1,4;2025-04-07;;Não
EMP_00235;Coordenador de TI;10287,89;2;0,10529999999999999;5,03;;2023-12-13;Não
EMP_00236;Analista Financeiro;7267,84;4;0,0637;1,05;2025-06-28;2024-01-28;Sim
EMP_00237;Analista de Dados;1949,71;3;0,0728;5,89;;2024-10-22;Não
EMP_00238;Gerente de RH;6372,91;4;0,09949999999999999;5,03;2024-12-13;2024-09-30;Não
EMP_00239;Diretor de Operações;4676,43;5;0,1353;12,24;;;Não
EMP_00240;Gerente de RH;7704,87;5;0,1216;3,65;;;Não
EMP_00241;Estagiário;4414,96;5;0,09380000000000001;0,84;;;Não
EMP_00242;Engenheiro de Dados;5770,53;3;0,14300000000000002;14,54;2015-12-08;;Não
EMP_00243;Estagiário;7009,97;3;0,0418;8,49;;2024-07-20;Não
EMP_00244;Gerente de RH;7731,51;3;0,1563;14,95;2019-01-04;2023-08-03;Não
EMP_00245;Analista Financeiro;3599,41;4;0,054400000000000004;6,38;;2023-12-07;Não
EMP_00246;Coordenador de TI;5331,0;1;0,1151;10,61;2023-05-27;2024-12-19;Não
EMP_00247;Auxiliar Administrativo;5050,11;4;0,1307;8,84;;2023-07-08;Não
EMP_00248;Analista de Dados;4693,34;2;0,0483;6,11;;;Não
EMP_00249;Estagiário;9530,91;3;0,1495;9,01;2025-05-11;;Não
EMP_00250;Consultor de BI;6809,96;1;0,10679999999999999;9,7;2017-03-25;2023-11-09;Não
EMP_00251;Analista de Dados;3478,23;3;0,1109;13,97;;2024-05-22;Não
EMP_00252;Estagiário;7835,72;1;0,0825;10,33;2025-04-28;2023-08-18;Não
EMP_00253;Coordenador de TI;10244,31;3;0,1116;3,8;;;Não
EMP_00254;Consultor de BI;8064,93;1;0,0783;13,53;2018-01-28;;Não
EMP_00255;Estagiário;2961,26;3;0,099;14,43;2016-05-28;2024-08-05;Não
EMP_00256;Engenheiro de Dados;5031,53;2;0,0922;14,84;2017-12-01;;Não
EMP_00257;Consultor de BI;8533,82;3;0,06849999999999999;6,76;;2024-01-01;Não
EMP_00258;Engenheiro de Dados;4584,66;4;0,0454;6,63;;;Não
EMP_00259;Auxiliar Administrativo;6887,64;5;0,0635;1,72;2025-06-27;2024-08-21;Não
EMP_00260;Coordenador de TI;7549,27;5;0,1734;15,15;2023-05-19;2025-03-19;Não
EMP_00261;Analista de Dados;4146,14;1;0,054400000000000004;4,62;2022-01-12;2024-11-15;Não
EMP_00262;Engenheiro de Dados;5880,95;5;0,1424;10,9;2018-07-14;2023-07-21;Não
EMP_00263;Consultor de BI;1500,0;1;0,11810000000000001;2,62;2024-08-15;2024-06-10;Não
EMP_00264;Engenheiro de Dados;3951,22;3;0,0604;7,04;2024-05-01;2023-09-12;Não
EMP_00265;Auxiliar Administrativo;5494,86;3;0,0398;2,44;2024-12-07;2024-06-03;Não
EMP_00266;Analista de Dados;3504,43;5;0,08289999999999999;2,9;2025-01-09;2024-03-19;Não
EMP_00267;Diretor de Operações;9264,82;1;0,0978;2,23;2025-01-26;2023-10-21;Não
EMP_00268;Auxiliar Administrativo;3139,72;4;0,0;10,43;2016-07-26;2023-10-14;Não
EMP_00269;Desenvolvedor Python;5119,91;2;0,056900000000000006;8,41;;2024-06-30;Não
EMP_00270;Analista de Dados;6261,48;3;0,1419;1,16;2025-06-23;;Não
EMP_00271;Gerente de RH;8882,55;2;0,0426;10,2;;2025-01-31;Não
EMP_00272;Diretor de Operações;3128,28;3;0,075;1,82;;;Não
EMP_00273;Desenvolvedor Python;8326,33;5;0,0922;13,04;;2025-05-09;Não
EMP_00274;Auxiliar Administrativo;6020,47;5;0,1244;11,79;;2023-07-16;Não
EMP_00275;Gerente de RH;4036,98;3;0,049100000000000005;11,77;2015-07-08;2024-03-27;Não
EMP_00276;Analista de Dados;6924,21;2;0,0676;13,05;;;Não
EMP_00277;Analista de Dados;6398,12;5;0,1038;2,02;;2024-05-25;Não
EMP_00278;Engenheiro de Dados;4799,57;5;0,0444;5,95;;2024-11-20;Não
EMP_00279;Estagiário;6139,6;5;0,16820000000000002;5,52;;2023-11-28;Não
EMP_00280;Diretor de Operações;5229,37;5;0,0795;10,1;2019-10-09;2024-05-03;Não
EMP_00281;Consultor de BI;6227,03;2;0,151;12,44;;2025-03-21;Não
EMP_00282;Analista Financeiro;7324,26;2;0,1016;10,73;;2024-07-31;Não
EMP_00283;Analista Financeiro;9172,03;3;0,1354;3,62;2024-10-28;;Não
EMP_00284;Analista Financeiro;3524,37;3;0,054900000000000004;7,04;2020-11-18;2025-05-06;Não
EMP_00285;Auxiliar Administrativo;10266,07;4;0,1267;7,84;2022-11-27;2024-12-22;Não
EMP_00286;Auxiliar Administrativo;2095,82;3;0,0527;8,76;;;Não
EMP_00287;Auxiliar Administrativo;5696,43;5;0,2036;9,29;;2023-08-28;Não
EMP_00288;Auxiliar Administrativo;7176,63;1;0,0866;2,33;;;Não
EMP_00289;Engenheiro de Dados;6561,98;5;0,15990000000000001;1,37;2025-02-15;2025-03-19;Não
EMP_00290;Consultor de BI;4754,6;4;0,0762;11,28;2017-07-31;;Não
EMP_00291;Analista Financeiro;5583,76;4;0,0842;9,37;2023-08-20;2023-07-13;Não
EMP_00292;Engenheiro de Dados;5014,0;1;0,1242;14,34;;2023-10-02;Não
EMP_00293;Diretor de Operações;4821,27;2;0,061399999999999996;8,65;2022-10-22;2023-12-04;Não
EMP_00294;Auxiliar Administrativo;7699,2;5;0,0599;7,67;2021-03-22;;Não
EMP_00295;Diretor de Operações;6714,03;5;0,1636;6,47;;;Não
EMP_00296;Auxiliar Administrativo;4614,18;3;0,0482;5,09;;2024-07-13;Não
EMP_00297;Analista Financeiro;7799,2;1;0,0055000000000000005;11,29;;2024-10-18;Não
EMP_00298;Analista Financeiro;6614,6;5;0,1162;6,22;;2024-05-20;Não
EMP_00299;Engenheiro de Dados;7625,72;1;0,14300000000000002;12,22;;2024-08-24;Não
EMP_00300;Diretor de Operações;7259,26;1;0,056600000000000004;11,96;2021-12-27;2025-03-26;Não
EMP_00301;Desenvolvedor Python;4342,01;5;0,0639;1,84;;;Não
EMP_00302;Engenheiro de Dados;4879,64;1;0,0806;14,32;2017-06-15;2024-03-19;Não
EMP_00303;Consultor de BI;7494,59;2;0,19510000000000002;7,85;;;Não
EMP_00304;Auxiliar Administrativo;7220,74;4;0,1127;10,12;2018-08-12;2024-06-28;Não
EMP_00305;Coordenador de TI;5958,2;4;0,1398;13,67;2013-11-12;;Não
EMP_00306;Coordenador de TI;6234,65;1;0,0818;10,26;2021-07-26;2024-09-17;Não
