ID do Colaborador;Dias de Falta;Dias de Licença Médica;Dias de Férias Usufruídos;Banco de Horas;Horas Extras;Quantidade de Atrasos
EMP_00188;1;3;11;178;97;4
EMP_00189;0;4;11;49;37;4
EMP_00190;3;3;14;52;5;6
EMP_00191;0;4;13;61;49;9
EMP_00192;3;6;19;90;58;3
EMP_00193;4;3;10;175;68;4
EMP_00194;2;4;13;-5;76;7
EMP_00195;1;0;17;16;3;8
EMP_00196;1;3;17;160;94;4
EMP_00197;4;1;14;124;97;5
EMP_00198;1;2;10;-8;31;7
EMP_00199;4;2;20;174;35;2
EMP_00200;0;1;18;134;26;5
EMP_00201;0;7;15;-29;24;5
EMP_00202;2;2;13;-18;75;5
EMP_00203;2;3;12;-32;48;4
EMP_00204;1;6;17;6;16;8
EMP_00205;3;1;17;109;23;5
EMP_00206;4;2;15;171;84;4
EMP_00207;3;3;13;189;5;6
EMP_00208;4;4;13;-6;62;5
EMP_00209;2;9;22;4;56;7
EMP_00210;1;4;14;11;64;5
EMP_00211;2;3;8;25;59;0
EMP_00212;2;3;15;178;94;4
EMP_00213;1;4;11;172;64;7
EMP_00214;5;2;17;166;86;3
EMP_00215;1;5;15;-52;64;5
EMP_00216;2;4;11;-58;8;11
EMP_00217;2;3;15;187;99;4
EMP_00218;5;2;14;5;9;5
EMP_00219;0;3;19;-44;73;4
EMP_00220;4;1;18;-88;100;4
EMP_00221;2;1;14;-27;27;4
EMP_00222;3;2;13;-71;75;5
EMP_00223;0;4;18;-25;35;4
EMP_00224;4;5;13;-56;89;3
EMP_00225;3;3;16;-4;86;3
EMP_00226;0;1;13;-81;1;9
EMP_00227;1;1;19;-45;9;5
EMP_00228;1;5;12;24;89;5
EMP_00229;4;1;16;68;67;3
EMP_00230;5;2;11;94;24;4
EMP_00231;5;1;13;31;62;2
EMP_00232;0;3;14;189;54;4
EMP_00233;3;2;21;41;6;3
EMP_00234;1;2;17;13;40;9
EMP_00235;1;2;9;122;51;3
EMP_00236;0;6;20;-72;15;4
EMP_00237;2;2;22;-54;29;5
EMP_00238;0;7;14;20;73;7
EMP_00239;2;3;14;127;71;3
EMP_00240;4;3;25;-17;24;5
EMP_00241;4;1;9;-80;75;3
EMP_00242;1;4;8;43;16;8
EMP_00243;2;4;13;118;73;6
EMP_00244;2;2;11;162;79;5
EMP_00245;4;3;12;1;2;6
EMP_00246;1;6;11;29;31;5
EMP_00247;4;3;14;14;25;4
EMP_00248;0;6;10;-88;47;4
EMP_00249;3;1;12;72;35;6
EMP_00250;1;4;14;167;3;4
EMP_00251;1;3;24;96;60;3
EMP_00252;0;1;19;188;16;8
EMP_00253;2;2;11;-54;14;3
EMP_00254;3;2;23;135;23;3
EMP_00255;1;3;15;51;38;8
EMP_00256;1;5;22;44;90;3
EMP_00257;3;1;12;-98;70;4
EMP_00258;2;3;21;87;33;10
EMP_00259;1;4;20;172;1;5
EMP_00260;1;7;13;5;89;2
EMP_00261;2;4;16;-58;37;6
EMP_00262;1;8;17;33;73;4
EMP_00263;3;1;13;96;29;2
EMP_00264;2;4;13;-76;80;3
EMP_00265;2;4;17;49;39;5
EMP_00266;2;5;15;116;34;4
EMP_00267;2;3;14;-73;8;3
EMP_00268;1;0;12;19;19;6
EMP_00269;3;3;13;-91;28;2
EMP_00270;2;2;7;-90;13;4
EMP_00271;0;3;17;27;78;7
EMP_00272;0;3;18;165;43;5
EMP_00273;3;4;13;26;91;8
EMP_00274;0;1;29;-61;62;1
EMP_00275;1;4;15;-87;13;7
EMP_00276;2;4;15;33;87;7
EMP_00277;1;5;15;192;30;2
EMP_00278;0;1;11;-66;54;5
EMP_00279;1;2;25;-76;82;3
EMP_00280;5;2;18;-41;53;4
EMP_00281;1;2;18;36;51;12
EMP_00282;2;4;22;167;37;6
EMP_00283;3;1;13;56;41;8
EMP_00284;1;7;20;172;27;3
EMP_00285;3;7;11;-61;60;5
EMP_00286;2;2;15;-18;30;0
EMP_00287;0;1;10;66;98;11
EMP_00288;3;1;18;83;24;2
EMP_00289;4;1;10;28;98;3
EMP_00290;3;4;16;-67;47;5
EMP_00291;3;4;12;-33;7;6
EMP_00292;2;3;17;115;9;3
EMP_00293;3;3;16;152;9;5
EMP_00294;7;3;18;52;20;5
EMP_00295;3;4;16;193;1;5
EMP_00296;3;2;17;-49;99;3
EMP_00297;3;2;9;168;39;3
EMP_00298;4;8;13;64;36;1
EMP_00299;4;4;11;119;12;8
EMP_00300;2;1;13;133;8;2
EMP_00301;0;4;16;77;61;4
EMP_00302;0;2;21;-89;38;7
EMP_00303;2;3;15;118;79;6
EMP_00304;3;5;16;26;81;4
EMP_00305;0;1;21;124;69;10
EMP_00306;1;3;19;-47;51;4
EMP_00307;1;1;14;49;56;9
EMP_00308;4;7;14;110;42;9
EMP_00309;1;5;11;186;62;1
EMP_00310;4;3;12;-91;45;4
EMP_00311;1;2;15;-40;83;2
EMP_00312;2;1;17;-59;53;3
EMP_00313;2;3;20;59;72;5
EMP_00314;1;2;13;85;48;4
EMP_00315;3;3;22;127;43;6
EMP_00316;1;1;10;183;85;5
EMP_00317;1;3;11;101;40;5
EMP_00318;2;2;15;-98;32;0
EMP_00319;3;4;19;7;1;5
EMP_00320;4;4;15;93;29;3
EMP_00321;3;2;10;-12;26;8
EMP_00322;0;1;16;-98;100;3
EMP_00323;2;5;11;-15;36;5
EMP_00324;0;3;16;184;43;10
EMP_00325;3;3;20;171;58;7
EMP_00326;0;2;25;-39;78;5
EMP_00327;4;2;12;182;97;5
EMP_00328;3;6;16;-1;34;5
EMP_00329;2;4;21;-78;65;3
EMP_00330;2;3;13;117;87;6
EMP_00331;1;5;17;102;39;4
EMP_00332;2;3;14;160;25;5
EMP_00333;2;5;13;28;10;4
EMP_00334;1;2;15;-22;2;6
EMP_00335;2;2;12;-6;18;4
EMP_00336;4;3;16;168;95;11
EMP_00337;2;1;23;106;66;1
EMP_00338;2;3;9;129;33;4
EMP_00339;2;3;14;-14;97;6
EMP_00340;2;1;14;-18;47;5
EMP_00341;4;3;14;-20;36;3
EMP_00342;1;3;13;48;65;5
EMP_00343;1;1;16;39;46;6
EMP_00344;2;1;17;-57;55;5
EMP_00345;0;3;15;-76;83;6
EMP_00346;2;1;17;162;51;3
EMP_00347;2;0;18;72;40;6
EMP_00348;4;3;15;-8;6;4
EMP_00349;4;3;13;41;92;3
EMP_00350;0;3;20;-91;19;12
EMP_00351;2;2;14;-55;51;4
EMP_00352;2;2;13;154;79;6
EMP_00353;1;1;26;26;100;4
EMP_00354;1;4;15;168;51;4
EMP_00355;4;4;12;-9;28;5
EMP_00356;4;2;11;70;13;4
EMP_00357;2;0;18;-60;34;3
EMP_00358;1;3;13;138;40;2
EMP_00359;3;1;19;166;53;2
EMP_00360;1;4;20;23;16;5
EMP_00361;3;4;17;27;0;2
EMP_00362;2;3;12;-47;10;2
EMP_00363;2;5;10;-60;28;10
EMP_00364;1;4;15;65;48;3
EMP_00365;1;3;19;-53;65;7
EMP_00366;1;2;14;15;27;5
EMP_00367;2;4;19;27;100;3
EMP_00368;3;5;14;79;79;4
EMP_00369;3;3;15;-80;95;5
EMP_00370;1;2;16;-11;28;6
EMP_00371;2;3;13;101;9;1
EMP_00372;1;5;13;-55;40;2
EMP_00373;2;2;20;-12;29;2
EMP_00374;2;2;15;110;98;2
EMP_00375;2;6;11;0;16;5
EMP_00376;1;2;18;133;80;3
EMP_00377;4;3;20;-54;59;6
EMP_00378;1;3;14;41;55;3
EMP_00379;1;4;15;72;83;6
EMP_00380;1;6;17;-64;5;5
EMP_00381;2;3;17;17;44;6
EMP_00382;5;2;14;22;37;3
EMP_00383;1;4;12;175;31;5
EMP_00384;4;3;14;26;24;6
EMP_00385;4;0;19;79;95;4
EMP_00386;1;4;15;-24;83;5
EMP_00387;1;4;16;24;55;6
EMP_00388;0;2;13;69;40;4
EMP_00389;4;4;15;28;36;7
EMP_00390;1;3;11;-44;18;6
EMP_00391;0;3;13;-74;80;4
EMP_00392;2;1;17;117;28;7
EMP_00393;2;3;20;-71;59;3
EMP_00394;1;3;19;-38;48;6
EMP_00395;1;2;9;199;19;3
EMP_00396;2;1;15;-11;65;5
EMP_00397;6;1;14;134;23;4
EMP_00398;6;5;9;27;2;11
EMP_00399;2;5;11;83;42;6
EMP_00400;0;2;14;61;13;5
EMP_00401;2;2;12;-4;88;8
EMP_00402;3;0;15;110;94;3
EMP_00403;1;2;15;53;82;6
EMP_00404;1;5;10;154;9;5
EMP_00405;3;1;16;128;89;7
EMP_00406;1;2;18;-98;27;7
EMP_00407;3;3;16;-31;46;4
EMP_00408;1;3;10;102;19;6
EMP_00409;1;1;18;145;14;9
EMP_00410;1;7;13;-67;53;9
EMP_00411;2;3;11;95;50;5
EMP_00412;0;4;16;172;85;2
EMP_00413;1;7;14;-53;9;1
EMP_00414;3;2;18;102;42;4
EMP_00415;3;2;15;0;72;2
EMP_00416;1;4;17;43;79;5
EMP_00417;3;3;9;-85;68;5
EMP_00418;0;6;10;157;21;3
EMP_00419;3;6;13;55;50;7
EMP_00420;0;2;21;114;8;1
EMP_00421;0;2;16;-82;29;6
EMP_00422;3;3;19;-6;86;5
EMP_00423;1;2;18;102;43;7
EMP_00424;1;5;11;14;66;6
EMP_00425;2;1;11;191;13;4
EMP_00426;3;2;19;193;100;8
EMP_00427;3;0;8;15;41;9
EMP_00428;3;6;19;125;28;2
EMP_00429;1;0;12;177;92;5
EMP_00430;3;4;17;104;88;3
EMP_00431;2;2;12;45;77;5
EMP_00432;3;1;20;170;53;5
EMP_00433;1;3;16;140;96;6
EMP_00434;3;1;13;11;65;5
EMP_00435;3;4;9;155;43;4
EMP_00436;2;4;20;82;56;2
EMP_00437;1;4;14;190;78;7
EMP_00438;4;5;19;169;40;4
EMP_00439;0;4;9;42;56;5
EMP_00440;3;4;15;-15;83;9
EMP_00441;0;4;18;-33;39;2
EMP_00442;2;3;10;93;96;9
EMP_00443;3;2;17;14;56;7
EMP_00444;0;0;15;-94;82;5
EMP_00445;2;4;11;15;45;8
EMP_00446;3;3;13;88;89;4
EMP_00447;7;1;7;119;77;6
EMP_00448;2;6;13;80;84;6
EMP_00449;0;5;12;145;24;2
EMP_00450;0;5;12;175;11;8
EMP_00451;1;1;14;-27;83;4
EMP_00452;3;2;15;-3;55;4
EMP_00453;2;5;19;-52;95;7
EMP_00454;2;2;20;156;1;2
EMP_00455;3;7;18;36;47;8
EMP_00456;0;6;11;-66;76;7
EMP_00457;3;4;10;-25;82;5
EMP_00458;2;0;17;-34;21;4
EMP_00459;1;5;17;-65;54;5
EMP_00460;1;5;11;61;28;1
EMP_00461;0;4;8;187;60;8
EMP_00462;6;1;21;-42;14;3
EMP_00463;2;1;22;-5;88;5
EMP_00464;4;0;17;28;85;5
EMP_00465;3;3;14;130;51;6
EMP_00466;2;5;15;93;68;8
EMP_00467;5;1;15;-96;40;1
EMP_00468;3;4;14;-10;99;5
EMP_00469;2;2;7;83;19;3
EMP_00470;2;3;16;89;77;5
EMP_00471;0;2;20;156;8;1
EMP_00472;0;1;20;187;15;1
EMP_00473;2;0;13;48;32;4
EMP_00474;0;1;11;70;76;3
EMP_00475;1;5;14;181;85;9
EMP_00476;1;3;19;45;35;7
EMP_00477;4;8;13;2;84;3
EMP_00478;1;0;22;155;63;8
EMP_00479;1;3;14;26;26;6
EMP_00480;2;1;18;15;41;8
EMP_00481;0;1;9;-18;55;5
EMP_00482;5;3;9;89;89;8
EMP_00483;0;4;16;-1;14;4
EMP_00484;2;4;18;127;88;7
EMP_00485;2;2;12;162;69;7
EMP_00486;2;5;10;1;3;7
EMP_00487;1;7;11;-54;40;5
EMP_00488;2;1;11;150;51;3
EMP_00489;1;2;13;61;16;6
EMP_00490;0;4;14;-84;65;3
EMP_00491;2;3;10;59;63;4
EMP_00492;1;4;9;168;84;4
EMP_00493;4;6;16;34;58;4
EMP_00494;2;5;15;-18;56;5
EMP_00495;2;3;14;162;54;9
EMP_00496;1;4;16;107;93;8
EMP_00497;0;0;9;34;15;6
EMP_00498;1;3;16;35;83;5
EMP_00499;1;6;11;153;38;6
EMP_00500;3;5;12;33;98;4
EMP_00501;2;3;8;120;24;3
EMP_00502;2;2;14;150;46;9
EMP_00503;2;3;12;-25;35;8
EMP_00504;2;2;13;29;62;2
EMP_00505;2;5;15;78;100;4
EMP_00506;2;2;12;-68;92;4
EMP_00507;0;0;17;-71;15;2
EMP_00508;5;3;15;-33;48;7
EMP_00509;7;2;8;155;8;3
EMP_00510;0;1;11;-64;97;9
EMP_00511;2;4;18;28;52;4
EMP_00512;3;0;15;170;29;4
EMP_00513;2;4;17;63;69;7
EMP_00514;3;4;18;56;90;2
EMP_00515;3;3;19;-94;13;8
EMP_00516;4;3;10;-83;2;5
EMP_00517;0;3;19;-86;48;5
EMP_00518;5;3;11;84;86;3
EMP_00519;2;2;12;113;2;3
EMP_00520;4;2;9;94;52;8
EMP_00521;3;3;14;-78;7;3
EMP_00522;2;1;17;171;39;6
EMP_00523;4;3;20;150;83;6
EMP_00524;1;4;15;45;48;3
EMP_00525;4;4;9;-31;19;6
EMP_00526;1;3;14;-9;100;5
EMP_00527;0;2;18;-70;7;5
EMP_00528;0;1;15;132;15;5
EMP_00529;0;2;17;51;48;6
EMP_00530;1;3;12;87;21;10
EMP_00531;4;4;17;153;97;11
EMP_00532;3;5;19;23;65;4
EMP_00533;2;8;16;106;11;3
EMP_00534;0;2;16;-20;23;4
EMP_00535;0;3;14;176;93;2
EMP_00536;0;3;12;54;34;7
EMP_00537;0;5;9;87;50;4
EMP_00538;2;3;16;100;98;8
EMP_00539;2;3;15;-34;0;2
EMP_00540;3;6;17;82;77;8
EMP_00541;1;5;14;-80;53;2
EMP_00542;1;3;10;86;25;3
EMP_00543;2;2;23;150;84;4
EMP_00544;1;2;15;178;33;5
EMP_00545;0;4;13;169;45;5
EMP_00546;0;3;16;-87;59;5
EMP_00547;2;1;18;53;36;7
EMP_00548;2;1;16;-65;42;4
EMP_00549;1;2;19;157;38;0
EMP_00550;3;3;19;14;78;3
EMP_00551;3;6;17;70;9;4
EMP_00552;1;5;16;110;46;7
EMP_00553;2;2;15;14;61;3
EMP_00554;2;4;15;115;96;6
EMP_00555;4;5;13;171;34;6
EMP_00556;4;5;13;-32;34;3
EMP_00557;5;2;11;128;44;4
EMP_00558;0;3;8;-17;70;4
EMP_00559;3;5;19;-89;38;6
EMP_00560;0;1;14;121;55;2
EMP_00561;2;1;14;-57;1;2
EMP_00562;1;2;15;77;97;7
EMP_00563;5;5;11;-28;19;3
EMP_00564;5;4;17;-4;95;4
EMP_00565;2;2;17;121;72;9
EMP_00566;1;3;20;-82;51;6
EMP_00567;1;5;16;54;27;8
EMP_00568;2;1;15;-55;11;8
EMP_00569;3;3;19;-37;29;7
EMP_00570;2;5;15;-8;7;8
EMP_00571;3;3;16;164;83;4
EMP_00572;0;1;16;101;25;5
EMP_00573;1;2;24;53;10;5
EMP_00574;3;1;12;88;11;4
EMP_00575;0;4;21;143;90;6
EMP_00576;3;3;26;142;94;3
EMP_00577;1;5;13;-96;80;4
EMP_00578;1;3;14;135;33;5
EMP_00579;1;4;12;-70;33;9
EMP_00580;3;5;24;194;92;3
EMP_00581;2;1;12;142;11;4
EMP_00582;1;5;16;164;71;3
EMP_00583;2;5;20;123;81;10
EMP_00584;1;8;16;152;44;3
EMP_00585;2;3;14;179;12;4
EMP_00586;1;1;19;-86;72;5
EMP_00587;1;1;8;-9;3;4
EMP_00588;2;6;14;-99;19;3
EMP_00589;3;4;12;-30;63;4
EMP_00590;2;2;16;-57;51;5
EMP_00591;1;5;9;-46;65;4
EMP_00592;2;7;12;41;15;7
EMP_00593;3;4;21;-99;56;4
EMP_00594;3;1;11;112;89;6
EMP_00595;2;2;8;179;2;9
EMP_00596;0;3;15;29;100;3
EMP_00597;1;5;19;78;0;6
EMP_00598;3;4;15;134;61;6
EMP_00599;1;2;17;-95;74;2
EMP_00600;1;3;13;140;9;8
EMP_00601;1;1;18;141;76;5
EMP_00602;3;3;14;32;62;6
EMP_00603;2;4;19;-34;22;5
EMP_00604;1;5;10;83;18;5
EMP_00605;2;5;20;50;60;8
EMP_00606;0;4;16;-37;85;6
EMP_00607;3;2;15;58;14;3
EMP_00608;1;1;11;77;32;6
EMP_00609;3;4;12;48;4;6
EMP_00610;2;3;12;-93;26;8
EMP_00611;3;3;19;-53;55;2
EMP_00612;4;1;14;-87;65;5
EMP_00613;1;3;19;2;93;7
EMP_00614;3;5;16;167;33;8
EMP_00615;1;5;27;112;98;4
EMP_00616;2;3;11;11;88;2
EMP_00617;2;2;18;1;93;2
EMP_00618;0;3;11;185;70;6
EMP_00619;4;5;17;122;49;2
EMP_00620;6;5;19;-67;5;5
EMP_00621;3;7;16;71;17;7
EMP_00622;2;2;16;4;47;6
EMP_00623;1;6;13;-54;80;4
EMP_00624;1;2;17;-40;44;2
EMP_00625;5;0;6;163;44;6
EMP_00626;1;2;7;113;41;7
EMP_00627;1;4;14;-80;62;5
EMP_00628;2;2;17;-28;14;7
EMP_00629;4;3;14;65;64;2
EMP_00630;1;2;16;-77;50;6
EMP_00631;2;3;21;7;22;6
EMP_00632;2;1;17;-65;9;5
EMP_00633;2;1;14;5;39;6
EMP_00634;4;4;17;178;27;2
EMP_00635;3;6;11;112;96;5
EMP_00636;2;2;11;0;75;4
EMP_00637;1;2;10;-64;12;6
EMP_00638;2;3;9;-35;37;0
EMP_00639;1;4;14;71;97;6
EMP_00640;2;3;15;131;17;5
EMP_00641;1;3;16;-92;27;7
EMP_00642;5;0;17;175;34;2
EMP_00643;0;5;14;139;46;7
EMP_00644;2;2;10;77;43;8
EMP_00645;0;1;14;150;76;2
EMP_00646;3;2;17;109;18;3
EMP_00647;2;1;10;45;6;3
EMP_00648;2;1;19;130;19;10
EMP_00649;3;0;9;-47;43;4
EMP_00650;0;2;14;-13;66;5
EMP_00651;3;5;11;51;4;4
EMP_00652;3;4;14;-62;75;7
EMP_00653;3;2;12;-17;16;4
EMP_00654;1;0;18;-20;18;5
EMP_00655;2;4;19;104;50;8
EMP_00656;2;2;19;189;48;3
EMP_00657;3;1;18;158;45;6
EMP_00658;5;3;11;-80;46;2
EMP_00659;0;1;18;148;63;7
EMP_00660;2;5;11;-66;67;3
EMP_00661;4;3;14;121;49;5
EMP_00662;1;2;18;-69;35;4
EMP_00663;2;4;11;121;50;2
EMP_00664;3;2;8;89;58;1
EMP_00665;2;2;20;59;82;3
EMP_00666;0;4;18;-33;34;5
EMP_00667;4;6;16;-82;84;6
EMP_00668;1;7;17;-75;63;2
EMP_00669;3;1;13;-16;54;6
EMP_00670;2;4;17;-65;77;4
EMP_00671;2;2;18;-75;73;6
EMP_00672;0;4;14;151;79;9
EMP_00673;2;3;20;117;75;4
EMP_00674;3;4;13;-37;68;3
EMP_00675;1;2;11;81;69;8
EMP_00676;2;2;18;43;7;1
EMP_00677;3;4;16;80;93;3
EMP_00678;0;3;9;-94;1;6
EMP_00679;2;1;16;-54;35;4
EMP_00680;2;1;22;38;10;6
EMP_00681;1;5;20;-95;89;4
EMP_00682;0;3;19;47;46;3
EMP_00683;4;5;12;-67;57;6
EMP_00684;5;4;18;174;10;2
EMP_00685;2;2;15;32;11;5
EMP_00686;2;3;16;66;54;8
EMP_00687;2;0;13;160;92;4
EMP_00688;6;4;14;21;24;1
EMP_00689;0;4;13;-37;17;5
EMP_00690;3;3;15;94;98;4
EMP_00691;1;3;21;76;86;3
EMP_00692;0;3;14;150;62;2
EMP_00693;1;5;22;82;86;5
EMP_00694;2;1;18;191;75;4
EMP_00695;3;3;14;134;66;6
EMP_00696;4;3;11;25;31;8
EMP_00697;2;4;12;-95;49;6
EMP_00698;4;2;16;178;88;3
EMP_00699;3;2;12;178;69;4
EMP_00700;4;2;9;67;17;9
EMP_00701;3;1;13;8;39;5
EMP_00702;4;2;15;42;25;1
EMP_00703;1;3;16;41;18;3
EMP_00704;2;1;12;-16;36;6
EMP_00705;2;2;9;-21;41;5
EMP_00706;3;1;15;-32;14;7
EMP_00707;1;3;17;63;15;7
EMP_00708;1;3;16;30;83;5
EMP_00709;3;0;16;108;51;6
EMP_00710;2;5;19;-73;45;4
EMP_00711;2;3;14;78;63;4
EMP_00712;3;3;17;144;16;8
EMP_00713;3;3;11;9;33;5
EMP_00714;0;4;17;26;42;5
EMP_00715;5;4;18;152;73;5
